D000011	Abelson murine leukemia virus	B04.613.807.375.525.020,B04.820.650.375.525.020	11788
D000045	Acacia	B01.875.800.575.912.250.401.025	3808
D000048	Acanthamoeba	B01.046.500.100.075.080	5754
D000049	Acanthocephala	B01.050.500.500.132	10232
D000053	Acari	B01.050.500.131.166.132	6933
D000066889	Triticale	B01.875.800.575.912.250.822.906	49317
D000067563	Phakopsora pachyrhizi	B01.300.179.113	170000
D000067636	Drosophila simulans	B01.050.500.131.617.720.500.500.750.310.250.750	7240
D000068016	Clostridiales	B03.353.625	186802
D000068181	Prunus dulcis	B01.875.800.575.912.250.859.937.500.625.500	3755
D000068218	Prunus africana	B01.875.800.575.912.250.859.937.500.625.250	379279
D000068219	Prunus armeniaca	B01.875.800.575.912.250.859.937.500.625.375	36596
D000068220	Prunus avium	B01.875.800.575.912.250.859.937.500.625.400	42229
D000068239	Prunus persica	B01.875.800.575.912.250.859.937.500.625.750	3760
D000068242	Prunus domestica	B01.875.800.575.912.250.859.937.500.625.450	3758
D000068276	Giraffes	B01.050.150.900.649.313.500.380.443	9893
D000068377	Plantaginaceae	B01.875.800.575.912.250.583.700	156152
D000068378	Lamiales	B01.875.800.575.912.250.583	4143
D000068536	Firmicutes	B03.353	1239
D000068543	Calceolariaceae	B01.875.800.575.912.250.583.190	155890
D000068676	Fallopia multiflora	B01.875.800.575.912.250.825.359.590	76025
D000068757	Ononis	B01.875.800.575.912.250.401.604	58889
D000068798	Hoodia	B01.875.800.575.912.250.456.500.389	197265
D000068819	Hyssopus Plant	B01.875.800.575.912.250.583.520.330	39168
D000068837	Parmeliaceae	B01.300.107.685,B01.300.340.458	78060
D000068856	Eugenia	B01.875.800.575.912.250.773.374	119950
D000069263	Fallopia	B01.875.800.575.912.250.825.359	76024
D000069976	Bacillus licheniformis	B03.300.390.400.158.218.376,B03.353.500.100.218.376,B03.510.100.100.218.376,B03.510.415.400.158.218.376,B03.510.460.410.158.218.376	1402
D000069977	Bacillus amyloliquefaciens	B03.300.390.400.158.218.076,B03.353.500.100.218.076,B03.510.100.100.218.076,B03.510.415.400.158.218.076,B03.510.460.410.158.218.076	1390
D000069978	Bifidobacterium longum	B03.510.024.100.500,B03.510.460.400.400.049.100.500	216816
D000069979	Bacillus pumilus	B03.300.390.400.158.218.613,B03.353.500.100.218.613,B03.510.100.100.218.613,B03.510.415.400.158.218.613,B03.510.460.410.158.218.613	1408
D000069980	Lacticaseibacillus paracasei	B03.353.750.450.606.750,B03.510.460.400.410.475.737.750,B03.510.550.450.606.750	1597
D000069981	Escherichia coli O104	B03.440.450.425.325.300.800.250.250,B03.660.250.150.180.100.800.250.250	2072453
D000069982	Bifidobacterium animalis	B03.510.024.100.250,B03.510.460.400.400.049.100.250	28025
D000069983	Saccharomyces boulardii	B01.300.107.795.785.400,B01.300.930.705.328	252598
D000069984	Bifidobacterium breve	B03.510.024.100.375,B03.510.460.400.400.049.100.375	1685
D000069985	Bifidobacterium bifidum	B03.510.024.100.313,B03.510.460.400.400.049.100.313	1681
D000069996	Ligilactobacillus salivarius	B03.353.750.450.656,B03.510.460.400.410.475.836,B03.510.550.450.689	1624
D000069998	Lactobacillus gasseri	B03.353.750.450.475.363,B03.510.460.400.410.475.475.363,B03.510.550.450.475.363	1596
D000069999	Lactobacillus johnsonii	B03.353.750.450.475.453,B03.510.460.400.410.475.475.453,B03.510.550.450.475.453	33959
D000070000	Bacillus coagulans	B03.300.390.400.158.218.314,B03.353.500.100.218.314,B03.510.100.100.218.314,B03.510.415.400.158.218.314,B03.510.460.410.158.218.314	1398
D000070001	Streptococcus salivarius	B03.353.750.737.872.663,B03.510.400.800.872.663,B03.510.550.737.872.663	1304
D000070002	Propionibacterium freudenreichii	B03.510.024.990.600.800,B03.510.460.400.400.600.600.800	1744
D000070003	Lactobacillus crispatus	B03.353.750.450.475.238,B03.510.460.400.410.475.475.238,B03.510.550.450.475.238	47770
D000070004	Ocimum sanctum	B01.875.800.575.912.250.583.520.647.750	204149
D000070005	Bifidobacterium adolescentis	B03.510.024.100.125,B03.510.460.400.400.049.100.125	1680
D000070006	Pediococcus pentosaceus	B03.353.750.450.737.750,B03.510.550.450.737.750	1255
D000070007	Leuconostoc mesenteroides	B03.353.750.475.450.500,B03.510.550.475.450.500	1245
D000070016	Pediococcus acidilactici	B03.353.750.450.737.500,B03.510.550.450.737.500	1254
D000070018	Lactobacillus pentosus	B03.353.750.450.475.586,B03.510.460.400.410.475.475.586,B03.510.550.450.475.586	1589
D000070019	Bacillus clausii	B03.300.390.400.158.218.283,B03.353.500.100.218.283,B03.510.100.100.218.283,B03.510.415.400.158.218.283,B03.510.460.410.158.218.283	79880
D000070036	Faecalibacterium	B03.353.625.766,B03.440.425.410.413	216851
D000070037	Faecalibacterium prausnitzii	B03.353.625.766.500,B03.440.425.410.413.500	853
D000070057	Paenibacillus polymyxa	B03.300.390.400.645.750,B03.353.500.645.750,B03.510.100.645.750,B03.510.415.400.645.750,B03.510.460.410.645.750,B03.585.860	1406
D000070058	Streptococcus iniae	B03.353.750.737.872.405,B03.510.400.800.872.405,B03.510.550.737.872.405	1346
D000070059	Paenibacillus larvae	B03.300.390.400.645.500,B03.353.500.645.500,B03.510.100.645.500,B03.510.415.400.645.500,B03.510.460.410.645.500	1464
D000070060	Bdellovibrio bacteriovorus	B03.440.400.425.180.500,B03.660.125.050.500	959
D000070076	Enterococcus hirae	B03.353.750.250.250.475,B03.510.550.250.250.475	1354
D000070077	Bacteroides thetaiotaomicron	B03.440.080.094.152.700,B03.440.425.410.194.152.700	818
D000070079	Aeromonas veronii	B03.440.450.019.025.845	654
D000070096	Pseudomonas chlororaphis	B03.440.400.425.625.625.223,B03.660.250.580.590.140	587753
D000070097	Butyrivibrio fibrisolvens	B03.353.625.250.500	831
D000070098	Bacillus firmus	B03.300.390.400.158.218.345,B03.353.500.100.218.345,B03.510.100.100.218.345,B03.510.415.400.158.218.345,B03.510.460.410.158.218.345	1399
D000070099	Streptococcus gallolyticus	B03.353.750.737.872.243,B03.510.400.800.872.243,B03.510.550.737.872.243	315405
D000070101	Megasphaera elsdenii	B03.440.425.400.500.500	907
D000070116	Lotus	B01.875.800.575.912.250.401.565	3867
D000070177	Pogostemon	B01.875.800.575.912.250.583.520.754	21861
D000070197	Streptococcus gallolyticus subspecies gallolyticus	B03.353.750.737.872.243.500,B03.510.400.800.872.243.500,B03.510.550.737.872.243.500	53354
D000070216	Psacalium	B01.875.800.575.912.250.100.605	98713
D000070236	Bifidobacterium longum subspecies infantis	B03.510.024.100.500.500,B03.510.460.400.400.049.100.500.500	1682
D000070256	Latilactobacillus sakei	B03.353.750.450.623,B03.510.460.400.410.475.770,B03.510.550.450.639	1599
D000070257	Bifidobacterium pseudocatenulatum	B03.510.024.100.750,B03.510.460.400.400.049.100.750	28026
D000070357	Asparagaceae	B01.875.800.575.912.250.618.100.060	40552
D000070378	Amaryllidaceae	B01.875.800.575.912.250.618.100.050	4668
D000070380	Asphodelaceae	B01.875.800.575.912.250.618.100.970	51383
D000070381	Asparagales	B01.875.800.575.912.250.618.100	73496
D000070396	Liliales	B01.875.800.575.912.250.618.875	4667
D000070436	Tannerella forsythia	B03.440.080.850.500	28112
D000070437	Colchicaceae	B01.875.800.575.912.250.618.875.175	41218
D000070476	Hypoxidaceae	B01.875.800.575.912.250.618.100.230	4674
D000070556	Melanthiaceae	B01.875.800.575.912.250.618.875.625	50362
D000070658	Vigna	B01.875.800.575.912.250.401.976	3913
D000070660	Wolfiporia	B01.300.179.120.760.845	81055
D000070677	Gentianales	B01.875.800.575.912.250.456	4055
D000071194	Camelidae	B01.050.150.900.649.313.500.190	9835
D000071244	Zika Virus	B04.820.578.344.350.995	64320
D000072359	Trichodesmium	B03.280.875,B03.440.475.100.875,B03.585.950	1205
D000073156	Naja	B01.050.150.900.833.672.125.875.612	8638
D000073176	Naja naja	B01.050.150.900.833.672.125.875.612.500	35670
D000073177	Naja haje	B01.050.150.900.833.672.125.875.612.250	8639
D000073178	Dendroaspis	B01.050.150.900.833.672.125.875.419	8617
D000073179	Hemachatus	B01.050.150.900.833.672.125.875.516	8625
D000073180	Hydrophiidae	B01.050.150.900.833.672.125.875.564	292440
D000073197	Ophiophagus hannah	B01.050.150.900.833.672.125.875.806	8665
D000073358	Mycobacterium abscessus	B03.510.024.962.500.720.050,B03.510.460.400.410.552.552.720.050	36809
D000073476	Laticauda	B01.050.150.900.833.672.125.875.576	8627
D000073556	Burkholderiales	B03.660.075.090	80840
D000073557	Campylobacteraceae	B03.660.150.235.250	72294
D000073559	Caryophyllales	B01.875.800.575.912.250.198.500	3524
D000073560	Chromadorea	B01.050.500.500.294.400	119089
D000073561	Clostridiaceae	B03.353.625.375	31979
D000073562	Crotalinae	B01.050.150.900.833.672.125.937.240	8710
D000073563	Culicomorpha	B01.050.500.131.617.720.500.500.750.712.500	43786
D000073564	Desulfovibrionaceae	B03.440.425.200,B03.660.125.144.500,B03.900.360	194924
D000073566	Eutheria	B01.050.150.900.649.313	9347
D000073567	Fagales	B01.875.800.575.912.250.859.750	3502
D000073568	Feliformia	B01.050.150.900.649.313.750.377	379583
D000073569	Helicobacteraceae	B03.660.150.235.500	72293
D000073571	Laurales	B01.875.800.575.912.250.595	3432
D000073638	Alphacoronavirus	B04.820.578.500.540.150.075	693996
D000073639	Alphacoronavirus 1	B04.820.578.500.540.150.075.500	693997
D000073640	Betacoronavirus	B04.820.578.500.540.150.113	694002
D000073641	Betacoronavirus 1	B04.820.578.500.540.150.113.500	694003
D000073642	Gammacoronavirus	B04.820.578.500.540.150.400	694013
D000074039	Staphylococcus capitis	B03.300.390.400.800.750.222,B03.353.500.750.750.222,B03.510.100.750.750.222,B03.510.400.790.750.222	29388
D000074423	Celastrales	B01.875.800.575.912.250.859.500	233875
D000074429	Candida parapsilosis	B01.300.107.795.095.600,B01.300.381.147.600,B01.300.930.176.600	5480
D000074703	Nematocera	B01.050.500.131.617.720.500.500.750.712	7148
D000074707	Campylobacterales	B03.660.150.235	213849
D000074745	Pterygota	B01.050.500.131.617.720	7496
