Assembly Accession	ANI Best ANI match ANI	ANI Best ANI match Assembly	ANI Best ANI match Assembly Coverage	ANI Best ANI match Type Category	ANI Best ANI match Organism	ANI Best ANI match Type Assembly Coverage	ANI Best match status	ANI Category	ANI Check status	ANI Comment	ANI Declared ANI match ANI	ANI Declared ANI match Assembly	ANI Declared ANI match Assembly Coverage	ANI Declared ANI match Type Category	ANI Declared ANI match Organism	ANI Declared ANI match Type Assembly Coverage	ANI Submitted organism	ANI Submitted species	Annotation BUSCO Complete 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Lineage 	Annotation BUSCO Missing 	Annotation BUSCO Single Copy 	Annotation BUSCO Total Count 	Annotation BUSCO Version 	Annotation Count Gene Non-coding	Annotation Count Gene Other	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Total	Annotation Method	Annotation Name	Annotation Pipeline	Annotation Provider	Annotation Release Date	Annotation Release Version	Annotation Report URL	Annotation Software Version	Annotation Status	Assembly Assembly Method	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly BioProject Accession	Assembly BioProject Lineage Accession	Assembly BioProject Lineage Parent Accession	Assembly BioProject Lineage Parent Accessions	Assembly BioProject Lineage Title	Assembly BioSample Accession	Assembly BioSample Age 	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Biomaterial provider 	Assembly BioSample BioProject Accession	Assembly BioSample BioProject Parent Accession	Assembly BioSample BioProject Parent Accessions	Assembly BioSample BioProject Title	Assembly BioSample Breed 	Assembly BioSample Collected by 	Assembly BioSample Collection date 	Assembly BioSample Cultivar 	Assembly BioSample Description Comment	Assembly BioSample Description Organism Common Name	Assembly BioSample Description Organism Infraspecific Names Breed	Assembly BioSample Description Organism Infraspecific Names Cultivar	Assembly BioSample Description Organism Infraspecific Names Ecotype	Assembly BioSample Description Organism Infraspecific Names Isolate	Assembly BioSample Description Organism Infraspecific Names Sex	Assembly BioSample Description Organism Infraspecific Names Strain	Assembly BioSample Description Organism Name	Assembly BioSample Description Organism Pangolin Classification	Assembly BioSample Description Organism Taxonomic ID	Assembly BioSample Description Title	Assembly BioSample Development stage 	Assembly BioSample Ecotype 	Assembly BioSample Geographic location 	Assembly BioSample Host 	Assembly BioSample Host disease 	Assembly BioSample Identified by 	Assembly BioSample Sample Identifiers Database	Assembly BioSample Sample Identifiers Label	Assembly BioSample Sample Identifiers Value	Assembly BioSample IFSAC category 	Assembly BioSample Isolate 	Assembly BioSample Isolate name alias 	Assembly BioSample Isolation source 	Assembly BioSample Last updated	Assembly BioSample Latitude / Longitude 	Assembly BioSample Models	Assembly BioSample Owner Contact Lab	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Project name  	Assembly BioSample Publication date	Assembly BioSample Sample name 	Assembly BioSample Serotype 	Assembly BioSample Serovar 	Assembly BioSample Sex 	Assembly BioSample Source type 	Assembly BioSample Status Status	Assembly BioSample Status When	Assembly BioSample Strain 	Assembly BioSample Sub-species 	Assembly BioSample Submission date	Assembly BioSample Tissue 	Assembly Blast URL	Assembly Description	Assembly Level	Assembly Linked Assembly Accession	Assembly Linked Assembly Type	Assembly Name	Assembly Notes 	Assembly Paired Assembly Accession	Assembly Paired Assembly Changed	Assembly Paired Assembly Manual Diff	Assembly Paired Assembly Name	Assembly Paired Assembly Only Genbank	Assembly Paired Assembly Only RefSeq	Assembly Paired Assembly Status	Assembly Refseq Category	Assembly Release Date	Assembly Sequencing Tech	Assembly Status	Assembly Submitter	Assembly Suppression Reason	Assembly Synonym	Assembly Type	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Component Sequences	Assembly Stats Number of Contigs	Assembly Stats Number of Organelles	Assembly Stats Number of Scaffolds	Assembly Stats Scaffold L50	Assembly Stats Scaffold N50	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Total Ungapped Length	CheckM completeness	CheckM completeness percentile	CheckM contamination	CheckM marker set	CheckM marker set rank	CheckM species tax id	CheckM version	Current Accession	Organelle Assembly Name	Organelle BioProject Accessions	Organelle Description	Organelle Infraspecific Name	Organelle Submitter	Organelle Total Seq Length	Organism Common Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Organism Infraspecific Names Strain	Organism Name	Organism Pangolin Classification	Organism Taxonomic ID	Source Database	Type Material Display Text	Type Material Label	WGS contigs URL	WGS project accession	WGS URL
GCF_003574215.1	93.07	GCA_019049855.1	86.47	type	Hydrogenophilus thiooxidans	85.5	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus									62		2148	21	2231	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-02-13			6.6		Velvet v. 1.2.08			PRJDB6915	PRJDB6915			Hydrogenophilus thermoluteolus TH-1 Genome sequencing	SAMD00115820		sample_name	H_thermoluteolus		PRJDB6915						missing		Keywords: GSC:MIxS;MIGS:6.0								Hydrogenophilus thermoluteolus		297	Hydrogenophilus thermoluteolus strain TH-1			Japan:Shizuoka, Izu peninsula											2022-04-05T05:55:03.000	missing	MIGS.ba		Department of Biotechnology, The University of Tokyo	MIGS.ba.6.0	Hydrogenophilus thermoluteolus TH-1 genome sequencing	2018-06-20T00:00:00.000	H_thermoluteolus					live	2018-06-26T01:00:56.673	TH-1		2018-06-26T01:00:56.670				Complete Genome			ASM357421v1		GCA_003574215.1			Annotation submitted by Department of Biotechnology, The University of Tokyo			current	representative genome	2018-06-21	454 GS FLX Titanium; ABI 3730	current	Department of Biotechnology, The University of Tokyo			haploid	1	2223143		1410666	61.5	42.0x	2	2		2	1	2223143	2	2288780	2288780	70.72	100	8.24	Hydrogenophilaceae	family	297	v1.2.2	GCF_003574215.1													TH-1	Hydrogenophilus thermoluteolus		297	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL			
GCF_003574215.1	93.07	GCA_019049855.1	86.47	type	Hydrogenophilus thiooxidans	85.5	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus									62		2148	21	2231	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-02-13			6.6		Velvet v. 1.2.08			PRJDB6915	PRJDB6915			Hydrogenophilus thermoluteolus TH-1 Genome sequencing	SAMD00115820		collection_date	missing		PRJDB6915						missing		Keywords: GSC:MIxS;MIGS:6.0								Hydrogenophilus thermoluteolus		297	Hydrogenophilus thermoluteolus strain TH-1			Japan:Shizuoka, Izu peninsula											2022-04-05T05:55:03.000	missing	MIGS.ba		Department of Biotechnology, The University of Tokyo	MIGS.ba.6.0	Hydrogenophilus thermoluteolus TH-1 genome sequencing	2018-06-20T00:00:00.000	H_thermoluteolus					live	2018-06-26T01:00:56.673	TH-1		2018-06-26T01:00:56.670				Complete Genome			ASM357421v1		GCA_003574215.1			Annotation submitted by Department of Biotechnology, The University of Tokyo			current	representative genome	2018-06-21	454 GS FLX Titanium; ABI 3730	current	Department of Biotechnology, The University of Tokyo			haploid	1	2223143		1410666	61.5	42.0x	2	2		2	1	2223143	2	2288780	2288780	70.72	100	8.24	Hydrogenophilaceae	family	297	v1.2.2	GCF_003574215.1													TH-1	Hydrogenophilus thermoluteolus		297	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL			
GCF_003574215.1	93.07	GCA_019049855.1	86.47	type	Hydrogenophilus thiooxidans	85.5	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus									62		2148	21	2231	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-02-13			6.6		Velvet v. 1.2.08			PRJDB6915	PRJDB6915			Hydrogenophilus thermoluteolus TH-1 Genome sequencing	SAMD00115820		env_broad_scale	not applicable		PRJDB6915						missing		Keywords: GSC:MIxS;MIGS:6.0								Hydrogenophilus thermoluteolus		297	Hydrogenophilus thermoluteolus strain TH-1			Japan:Shizuoka, Izu peninsula											2022-04-05T05:55:03.000	missing	MIGS.ba		Department of Biotechnology, The University of Tokyo	MIGS.ba.6.0	Hydrogenophilus thermoluteolus TH-1 genome sequencing	2018-06-20T00:00:00.000	H_thermoluteolus					live	2018-06-26T01:00:56.673	TH-1		2018-06-26T01:00:56.670				Complete Genome			ASM357421v1		GCA_003574215.1			Annotation submitted by Department of Biotechnology, The University of Tokyo			current	representative genome	2018-06-21	454 GS FLX Titanium; ABI 3730	current	Department of Biotechnology, The University of Tokyo			haploid	1	2223143		1410666	61.5	42.0x	2	2		2	1	2223143	2	2288780	2288780	70.72	100	8.24	Hydrogenophilaceae	family	297	v1.2.2	GCF_003574215.1													TH-1	Hydrogenophilus thermoluteolus		297	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL			
GCF_003574215.1	93.07	GCA_019049855.1	86.47	type	Hydrogenophilus thiooxidans	85.5	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus									62		2148	21	2231	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-02-13			6.6		Velvet v. 1.2.08			PRJDB6915	PRJDB6915			Hydrogenophilus thermoluteolus TH-1 Genome sequencing	SAMD00115820		env_local_scale	hot spring		PRJDB6915						missing		Keywords: GSC:MIxS;MIGS:6.0								Hydrogenophilus thermoluteolus		297	Hydrogenophilus thermoluteolus strain TH-1			Japan:Shizuoka, Izu peninsula											2022-04-05T05:55:03.000	missing	MIGS.ba		Department of Biotechnology, The University of Tokyo	MIGS.ba.6.0	Hydrogenophilus thermoluteolus TH-1 genome sequencing	2018-06-20T00:00:00.000	H_thermoluteolus					live	2018-06-26T01:00:56.673	TH-1		2018-06-26T01:00:56.670				Complete Genome			ASM357421v1		GCA_003574215.1			Annotation submitted by Department of Biotechnology, The University of Tokyo			current	representative genome	2018-06-21	454 GS FLX Titanium; ABI 3730	current	Department of Biotechnology, The University of Tokyo			haploid	1	2223143		1410666	61.5	42.0x	2	2		2	1	2223143	2	2288780	2288780	70.72	100	8.24	Hydrogenophilaceae	family	297	v1.2.2	GCF_003574215.1													TH-1	Hydrogenophilus thermoluteolus		297	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL			
GCF_003574215.1	93.07	GCA_019049855.1	86.47	type	Hydrogenophilus thiooxidans	85.5	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus									62		2148	21	2231	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-02-13			6.6		Velvet v. 1.2.08			PRJDB6915	PRJDB6915			Hydrogenophilus thermoluteolus TH-1 Genome sequencing	SAMD00115820		env_medium	soil around hot spring		PRJDB6915						missing		Keywords: GSC:MIxS;MIGS:6.0								Hydrogenophilus thermoluteolus		297	Hydrogenophilus thermoluteolus strain TH-1			Japan:Shizuoka, Izu peninsula											2022-04-05T05:55:03.000	missing	MIGS.ba		Department of Biotechnology, The University of Tokyo	MIGS.ba.6.0	Hydrogenophilus thermoluteolus TH-1 genome sequencing	2018-06-20T00:00:00.000	H_thermoluteolus					live	2018-06-26T01:00:56.673	TH-1		2018-06-26T01:00:56.670				Complete Genome			ASM357421v1		GCA_003574215.1			Annotation submitted by Department of Biotechnology, The University of Tokyo			current	representative genome	2018-06-21	454 GS FLX Titanium; ABI 3730	current	Department of Biotechnology, The University of Tokyo			haploid	1	2223143		1410666	61.5	42.0x	2	2		2	1	2223143	2	2288780	2288780	70.72	100	8.24	Hydrogenophilaceae	family	297	v1.2.2	GCF_003574215.1													TH-1	Hydrogenophilus thermoluteolus		297	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL			
GCF_003574215.1	93.07	GCA_019049855.1	86.47	type	Hydrogenophilus thiooxidans	85.5	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus									62		2148	21	2231	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-02-13			6.6		Velvet v. 1.2.08			PRJDB6915	PRJDB6915			Hydrogenophilus thermoluteolus TH-1 Genome sequencing	SAMD00115820		geo_loc_name	Japan:Shizuoka, Izu peninsula		PRJDB6915						missing		Keywords: GSC:MIxS;MIGS:6.0								Hydrogenophilus thermoluteolus		297	Hydrogenophilus thermoluteolus strain TH-1			Japan:Shizuoka, Izu peninsula											2022-04-05T05:55:03.000	missing	MIGS.ba		Department of Biotechnology, The University of Tokyo	MIGS.ba.6.0	Hydrogenophilus thermoluteolus TH-1 genome sequencing	2018-06-20T00:00:00.000	H_thermoluteolus					live	2018-06-26T01:00:56.673	TH-1		2018-06-26T01:00:56.670				Complete Genome			ASM357421v1		GCA_003574215.1			Annotation submitted by Department of Biotechnology, The University of Tokyo			current	representative genome	2018-06-21	454 GS FLX Titanium; ABI 3730	current	Department of Biotechnology, The University of Tokyo			haploid	1	2223143		1410666	61.5	42.0x	2	2		2	1	2223143	2	2288780	2288780	70.72	100	8.24	Hydrogenophilaceae	family	297	v1.2.2	GCF_003574215.1													TH-1	Hydrogenophilus thermoluteolus		297	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL			
GCF_003574215.1	93.07	GCA_019049855.1	86.47	type	Hydrogenophilus thiooxidans	85.5	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus									62		2148	21	2231	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-02-13			6.6		Velvet v. 1.2.08			PRJDB6915	PRJDB6915			Hydrogenophilus thermoluteolus TH-1 Genome sequencing	SAMD00115820		isol_growth_condt	http://www.nbrc.nite.go.jp/NBRC2/NBRCCatalogueDetailServlet?ID=NBRC&CAT=00014978		PRJDB6915						missing		Keywords: GSC:MIxS;MIGS:6.0								Hydrogenophilus thermoluteolus		297	Hydrogenophilus thermoluteolus strain TH-1			Japan:Shizuoka, Izu peninsula											2022-04-05T05:55:03.000	missing	MIGS.ba		Department of Biotechnology, The University of Tokyo	MIGS.ba.6.0	Hydrogenophilus thermoluteolus TH-1 genome sequencing	2018-06-20T00:00:00.000	H_thermoluteolus					live	2018-06-26T01:00:56.673	TH-1		2018-06-26T01:00:56.670				Complete Genome			ASM357421v1		GCA_003574215.1			Annotation submitted by Department of Biotechnology, The University of Tokyo			current	representative genome	2018-06-21	454 GS FLX Titanium; ABI 3730	current	Department of Biotechnology, The University of Tokyo			haploid	1	2223143		1410666	61.5	42.0x	2	2		2	1	2223143	2	2288780	2288780	70.72	100	8.24	Hydrogenophilaceae	family	297	v1.2.2	GCF_003574215.1													TH-1	Hydrogenophilus thermoluteolus		297	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL			
GCF_003574215.1	93.07	GCA_019049855.1	86.47	type	Hydrogenophilus thiooxidans	85.5	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus									62		2148	21	2231	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-02-13			6.6		Velvet v. 1.2.08			PRJDB6915	PRJDB6915			Hydrogenophilus thermoluteolus TH-1 Genome sequencing	SAMD00115820		lat_lon	missing		PRJDB6915						missing		Keywords: GSC:MIxS;MIGS:6.0								Hydrogenophilus thermoluteolus		297	Hydrogenophilus thermoluteolus strain TH-1			Japan:Shizuoka, Izu peninsula											2022-04-05T05:55:03.000	missing	MIGS.ba		Department of Biotechnology, The University of Tokyo	MIGS.ba.6.0	Hydrogenophilus thermoluteolus TH-1 genome sequencing	2018-06-20T00:00:00.000	H_thermoluteolus					live	2018-06-26T01:00:56.673	TH-1		2018-06-26T01:00:56.670				Complete Genome			ASM357421v1		GCA_003574215.1			Annotation submitted by Department of Biotechnology, The University of Tokyo			current	representative genome	2018-06-21	454 GS FLX Titanium; ABI 3730	current	Department of Biotechnology, The University of Tokyo			haploid	1	2223143		1410666	61.5	42.0x	2	2		2	1	2223143	2	2288780	2288780	70.72	100	8.24	Hydrogenophilaceae	family	297	v1.2.2	GCF_003574215.1													TH-1	Hydrogenophilus thermoluteolus		297	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL			
GCF_003574215.1	93.07	GCA_019049855.1	86.47	type	Hydrogenophilus thiooxidans	85.5	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus									62		2148	21	2231	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-02-13			6.6		Velvet v. 1.2.08			PRJDB6915	PRJDB6915			Hydrogenophilus thermoluteolus TH-1 Genome sequencing	SAMD00115820		locus_tag_prefix	HPTL		PRJDB6915						missing		Keywords: GSC:MIxS;MIGS:6.0								Hydrogenophilus thermoluteolus		297	Hydrogenophilus thermoluteolus strain TH-1			Japan:Shizuoka, Izu peninsula											2022-04-05T05:55:03.000	missing	MIGS.ba		Department of Biotechnology, The University of Tokyo	MIGS.ba.6.0	Hydrogenophilus thermoluteolus TH-1 genome sequencing	2018-06-20T00:00:00.000	H_thermoluteolus					live	2018-06-26T01:00:56.673	TH-1		2018-06-26T01:00:56.670				Complete Genome			ASM357421v1		GCA_003574215.1			Annotation submitted by Department of Biotechnology, The University of Tokyo			current	representative genome	2018-06-21	454 GS FLX Titanium; ABI 3730	current	Department of Biotechnology, The University of Tokyo			haploid	1	2223143		1410666	61.5	42.0x	2	2		2	1	2223143	2	2288780	2288780	70.72	100	8.24	Hydrogenophilaceae	family	297	v1.2.2	GCF_003574215.1													TH-1	Hydrogenophilus thermoluteolus		297	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL			
GCF_003574215.1	93.07	GCA_019049855.1	86.47	type	Hydrogenophilus thiooxidans	85.5	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus									62		2148	21	2231	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-02-13			6.6		Velvet v. 1.2.08			PRJDB6915	PRJDB6915			Hydrogenophilus thermoluteolus TH-1 Genome sequencing	SAMD00115820		num_replicons	missing		PRJDB6915						missing		Keywords: GSC:MIxS;MIGS:6.0								Hydrogenophilus thermoluteolus		297	Hydrogenophilus thermoluteolus strain TH-1			Japan:Shizuoka, Izu peninsula											2022-04-05T05:55:03.000	missing	MIGS.ba		Department of Biotechnology, The University of Tokyo	MIGS.ba.6.0	Hydrogenophilus thermoluteolus TH-1 genome sequencing	2018-06-20T00:00:00.000	H_thermoluteolus					live	2018-06-26T01:00:56.673	TH-1		2018-06-26T01:00:56.670				Complete Genome			ASM357421v1		GCA_003574215.1			Annotation submitted by Department of Biotechnology, The University of Tokyo			current	representative genome	2018-06-21	454 GS FLX Titanium; ABI 3730	current	Department of Biotechnology, The University of Tokyo			haploid	1	2223143		1410666	61.5	42.0x	2	2		2	1	2223143	2	2288780	2288780	70.72	100	8.24	Hydrogenophilaceae	family	297	v1.2.2	GCF_003574215.1													TH-1	Hydrogenophilus thermoluteolus		297	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL			
